origin,destination,count
8988572,514404,11
8988572,5436342,13
8988572,56867494,15
8988572,59158340,9
8988572,6112313,10
8988572,65712689,9
8988572,67616965,14
8988572,69510868,15
90063338,2253889,9
90063338,2404204,9
90063338,516103,10
90063338,56569601,9
90063338,65504764,9
90063338,65944578,9
90063338,67616965,13
90063338,68074685,10
90063338,68210945,10
90063338,73391928,9
90063338,75110565,15
90063338,75154099,11
90063338,79623458,9
90398645,21039073,17
90555213,65712689,11
90555213,66325573,9
90555213,67255663,13
90555213,68074685,11
90965180,4117988,17
