origin,destination,count
511764,8968906,12
511764,13725566,10
511764,16988545,9
511764,23223824,10
511764,35937614,10
511764,48011181,9
511764,58223978,12
511764,59441452,10
511764,67124168,13
511764,69129072,10
58223978,510278,11
58223978,511764,12
58223978,512579,13
58223978,1947109,11
58223978,2274049,13
58223978,2377600,9
58223978,2400406,14
58223978,2490793,10
58223978,3056221,15
58223978,3116893,10
58223978,3304546,9
58223978,3690208,13
58223978,5616861,9
58223978,7992674,25
58223978,8074790,16
58223978,8291516,9
58223978,16988545,38
58223978,18280058,19
58223978,18768923,11
58223978,19011214,9
58223978,19122301,11
58223978,21993091,9
58223978,23223824,27
58223978,27727752,30
58223978,67181914,12
58223978,67496973,10
58223978,67731779,9
58223978,68181630,9
58223978,69413245,9
58223978,69557110,11
58223978,69572326,13
58223978,70426517,11
63058152,24991839,14
77276192,66340319,10
77276192,76850658,12
76758442,66381323,28
76758442,66795047,9
76758442,67103759,11
76758442,69664204,22
67505346,66016663,22
67505346,75210102,9
67505346,76058810,9
27474822,512939,9
27474822,1944889,9
27474822,5451108,11
27474822,21949591,9
27474822,22574697,11
27474822,48654732,10
27474822,58007874,11
27474822,59424753,13
27474822,67435654,9
27474822,67773892,15
27474822,67949516,9
27474822,69303244,11
27474822,69797642,20
3679093,2490793,13
3679093,2683591,9
3679093,15094130,9
3679093,18203489,11
3679093,48011181,10
3679093,67647906,9
